제품코드;제품명;제약회사;단가;등록일자;실적
A-157;건웅 미크로노마이신주사 60mg;대화제약;1579;2020-5-6 0:00:00;32
B-151;건웅시프로플록사신정;건웅제약;429;2020-5-6 0:00:00;116
B-161;건웅프로치온아미드정250mg;건웅제약;80;2020-5-6 0:00:00;139
A-159;건일로딘정100mg;경인제약;178;2020-5-6 0:00:00;115
A-170;경남염산라니티딘정300mg;고려은단;139;2020-5-6 0:00:00;116
A-163;게르시린현탁액;국제약품;120;2020-5-6 0:00:00;297
A-174;경인염화리소짐정90mg;대화제약;36;2020-5-6 0:00:00;118
C-132;고려은단파모티딘정20mg;건웅제약;66;2020-5-6 0:00:00;124
C-136;광명피록시캄근육주사;건웅제약;1160;2020-5-6 0:00:00;115
C-144;국제세파드록실캅셀;경인제약;353;2020-5-6 0:00:00;89
C-148;국제황산리보스타마이신주1g;고려은단;881;2020-5-6 0:00:00;192
C-169;극동 메토카르바몰정;국제약품;114;2020-5-6 0:00:00;118
C-138;구루메포민정500mg;건웅제약;70;2020-5-6 0:00:00;288
A-148;개비콘액;건웅제약;188;2020-5-6 0:00:00;127
C-140;구아브라신캅셀;경인제약;220;2020-5-6 0:00:00;288
C-161;그리코민정;고려은단;79;2020-5-6 0:00:00;288
A-140;각시원정;국제약품;42;2020-5-6 0:00:00;190
C-151;그랜솔주 250ml(5%);대화제약;9103;2020-5-6 0:00:00;139
D-324;기넥신에프연질캅셀;동광제약;243;2020-5-6 0:00:00;268
